origin_date,target,horizon_months,y_true,VAR,Ridge,ElasticNet,LSTM_Adam,LSTM_SGD,GRU_Adam,GRU_SGD
2000-01-01,cpi_core_yoy,1,2.1409268423679073,2.233948129626277,2.002019385050948,2.022242788808073,1.716517448425293,2.0093390941619873,2.1743674278259277,1.711827039718628
2000-02-01,cpi_core_yoy,1,2.4178855697159385,2.284358531755887,2.033862715521237,2.2381421994267696,1.7160274982452393,2.0791096687316895,2.2022485733032227,1.612706184387207
2000-03-01,cpi_core_yoy,1,2.243504080544678,2.57726982325024,2.25186483994083,2.3991854075290107,1.6182034015655518,2.109487295150757,2.1508257389068604,1.6839178800582886
2000-04-01,cpi_core_yoy,1,2.3517321224831633,2.1703746937276343,2.3776860805286466,2.6469596181070227,1.3695380687713623,2.0983641147613525,1.9691342115402224,1.706621170043945
2000-05-01,cpi_core_yoy,1,2.5162076719508875,2.5496665763405875,2.3768067825566224,2.4205607195980128,1.2056185007095337,2.2209837436676025,1.8896640539169312,1.7738463878631592
2000-06-01,cpi_core_yoy,1,2.454110891611716,2.8087626352645723,2.3286546585153793,2.531818436296021,0.955952525138855,2.2130250930786133,1.711003661155701,1.5161175727844238
2000-07-01,cpi_core_yoy,1,2.561387244391433,2.460301777679712,2.456377936191074,2.637147626845754,0.7401072978973389,2.186800479888916,1.4514228105545044,1.4971036911010742
2000-08-01,cpi_core_yoy,1,2.4994358604812916,2.479285112916842,2.3276262131399097,2.497182162685003,0.7100610733032227,2.1074931621551514,1.4271513223648071,1.3617057800292969
2000-09-01,cpi_core_yoy,1,2.4952777865252074,2.6031063461591897,2.0475448864654027,2.534129507811728,0.688286542892456,2.190699338912964,1.4621782302856443,1.4669357538223269
2000-10-01,cpi_core_yoy,1,2.6004231534555444,2.6341207709404433,2.4317341577376776,2.5192871290302694,0.7072194814682007,2.295048952102661,1.5246561765670776,1.5865341424942017
2000-11-01,cpi_core_yoy,1,2.541573268027708,2.605645891520876,2.418986546368646,2.546420461274222,0.716231107711792,2.297208786010742,1.7121540307998655,1.5688693523406982
2000-12-01,cpi_core_yoy,1,2.5331750999188607,2.5021716188304652,3.237562260176599,2.495801868824154,0.7785909175872803,2.466348171234131,1.9535032510757449,1.470117688179016
2001-01-01,cpi_core_yoy,1,2.7489361497798015,2.4489541492474833,2.5006230732852495,2.5187029765344113,2.654910087585449,2.5600826740264893,2.9695098400115967,3.0603764057159424
2001-02-01,cpi_core_yoy,1,2.5776036314983486,2.766192943171431,2.6874530834266563,2.564766599187616,2.3955676555633545,2.3954811096191406,2.694291830062866,3.354888677597046
2001-03-01,cpi_core_yoy,1,2.62740893701805,2.4249217067205384,2.6191031299116214,2.6611538613249532,1.768140196800232,2.465287923812866,2.4396004676818848,3.36212420463562
2001-04-01,cpi_core_yoy,1,2.513793569313094,2.674987155630841,2.542866260636628,2.4336587712004407,1.371540665626526,2.5426065921783447,2.180627822875977,3.688181400299072
2001-05-01,cpi_core_yoy,1,2.6697308823833588,2.5279746569172237,2.4787363078415905,2.490926740289491,1.2261455059051514,2.675532341003418,2.06596302986145,4.006282329559326
