variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
cpi_services_yoy,-0.11454952108231485,0.0908205743422515,0.0884113857730541,0.02565922644836202,-0.13927280804003608,-0.08929535440583107,0.09502882056002007,0.045763898425570014
cpi_shelter_yoy,-0.09968166084906083,0.09487569754686137,0.09707281700212095,0.039214590402549696,-0.10821912418489399,-0.0960927009901724,0.05491926414537168,-0.012330939988098089
cpi_rent_yoy,-0.09469605683127941,0.029251170126216197,0.061713624204535966,0.022183915758690484,0.21749840025315115,0.08939960463506702,-0.07580424313716139,-0.04635687024965306
cpi_oer_yoy,-0.07984992983435169,0.005880420204240178,0.04740863559301878,-0.05963098593814432,0.09894666739446945,0.06498242655231179,-0.18391034585706817,-0.08263392544975237
cpi_food_home_yoy,-0.06748472730693406,0.029086771414221113,0.1224197348183943,0.017065274243093786,-0.18215905037466193,-0.09576741532183333,0.033571187018511306,-0.02041009792151613
cpi_energy_services_yoy,-0.11622827265283964,0.08767535094787393,0.04934802195898813,0.027432545130680677,-0.03482223172567611,-0.07259200919594852,0.21737023786781984,0.034552074260852425
cpi_transport_yoy,-0.09736732750174018,0.07481179389140748,0.06357933363043486,0.01027548045118104,-0.14023497076854935,-0.04731570151977099,0.10635729257630239,0.13151351024975844
cpi_med_services_yoy,-0.10922330224265654,0.1161763477916156,-5.1725170133284926e-05,-0.004468040354989489,-0.012898897340534246,-0.0788853435922296,0.059875437419022445,0.004215301190879012
cpi_med_commod_yoy,-0.06694849993297117,0.12153723197838866,-0.00841069897575912,-0.01874852103099134,0.11575972081061106,0.029118005659499138,-0.10035416329958657,0.05956724070189889
cpi_comm_less_fe_yoy,-0.12007315428924817,0.10018337318779293,0.06139065690163971,0.012052753298359642,-0.05236992553393985,-0.09424237862624585,0.12543792422648686,0.01562891568083913
pcepi_headline_yoy,-0.12223309366507303,0.08716899246771227,0.09594274209249426,0.0189351763145251,-0.10835094762468472,-0.09784278684109143,0.10649535246584985,0.02163086752657095
pcepi_core_yoy,-0.12564897100465705,0.09826420241841291,0.08288764344014421,0.005476395085675516,-0.045936327989365554,-0.0894420711125072,0.11884971655883447,-0.0025309347781827807
gdp_deflator_yoy,-0.12760162926898572,0.07176338304878924,0.09481488557928203,0.030193125631522523,-0.09843757042368963,-0.1071378864628268,0.1282567814426428,0.009196332369126092
ppi_all_manufacturing_yoy,-0.05073626908328339,0.014168352105323852,0.018679867368092806,-0.05796391402240315,-0.06616053987877187,0.13562783527219735,-0.09247670242207219,0.1830325191282653
ppi_mining_yoy,-0.006139820680220993,0.009769024128368275,0.010997240808547758,-0.0022004048628285204,-0.05994431038960527,0.13434112837634307,0.060898719656560886,0.3096499165208977
umich_infl_1y,-0.10880907849267896,0.029913126723196962,0.08277376114531694,0.03171404186788685,-0.1160499160230473,-0.05623373087569921,0.015752394288508983,0.04461475237458507
expinf_5y_clevelandfed,-0.10965493723551858,0.02801677384254632,0.058403859355495163,-0.06934750449304675,0.1644124247881469,0.14833938759858695,-0.054016767589356134,0.04501051990707171
indpro_manufacturing_yoy,0.07964781223765965,-0.08920095734849166,0.1175216832315114,-0.11465374797909217,-0.010142832287405746,0.009282165393203833,-0.009557907051051463,0.00716556968798966
indpro_durables_yoy,0.08608600444166445,-0.09405128803646015,0.10666437625837624,-0.10826938488618704,-0.031025109023685906,0.00647491836756198,-0.050533898609082355,0.03683674002757521
indpro_nondurables_yoy,0.015536537859052344,-0.14165905215950902,0.06567423046465512,-0.0869510634485037,0.00824793148454811,0.01735183960093993,-0.053933024474717185,0.023841007661105054
caputil_total,0.03530822238838698,-0.10358984181854596,0.08553131977514324,-0.012212885302515856,-0.22109273677146926,-0.026789325316204825,-0.07290044523998584,-0.006124412366726812
caputil_manufacturing,0.03088451042442051,-0.13060687659209705,0.06569396742373969,-0.022673271624061322,-0.18716965856604945,-0.0012442720740521431,-0.1443844617355898,0.010070885065308283
retail_sales_nominal_yoy,-0.009132846145121724,-0.00017061811822899404,-0.026062853239934868,-0.06474761416988958,0.015539534541237599,-0.12237415466156105,-0.054803173481608,0.33030695586500064
retail_sales_real_yoy,0.0011038949987717702,-0.0023575340128967988,-0.004680645551349704,-0.019810441099221733,0.05030013573019555,-0.15974171955170136,-0.07802405547964136,0.29983495129336885
gdp_nominal_yoy,-0.07119370609870602,-0.05007233908720507,0.18236283415460253,-0.06239961407392308,-0.02680973751052764,-0.09702222946705517,0.10980053871558278,0.045232202577413706
gdp_real_yoy,0.05925061466011675,-0.13027304222430086,0.09529493614918466,-0.0992831535254144,0.07585056994971845,0.00971841663984884,-0.018595441493895463,0.03890249412528061
exports_real,0.15043140019303927,0.10535743392351891,0.019439026892624625,0.0028547893049120534,-0.048795498108369244,-0.009407712111164764,0.024645194440119745,0.01031695376767136
imports_real,0.1562504551492667,0.09378187641081029,0.042003423724936706,0.009206404505684055,-0.01897554058483474,-0.019873514657273137,0.013387031412842147,0.01785242955275485
durables_new_orders,0.05262071150426228,-0.010162671399981105,0.13907242248477938,0.2116658488559415,0.059038381826951106,0.08681396211815848,0.03554356754265977,0.05141301176021232
durables_shipments_value,0.054270227635469875,-0.01127665145551895,0.14226786958769755,0.21569813616519762,0.06245655372019376,0.07658574428174787,0.02802252888038104,0.04523495774633663
durables_unfilled_orders,0.04347920137780555,-0.0033198990492641985,0.10385258690695003,0.20369948077411548,0.09010884851720136,0.022380393993890992,0.019010826720645385,-0.02540470026837767
