pc,explained_variance_ratio,explained_variance,cum_explained_variance_ratio
PC1,0.2336985620079531,30.912611458922605,0.2336985620079531
PC2,0.1801838461315859,23.833921692896233,0.413882408139539
PC3,0.0939912004118565,12.432739996023455,0.5078736085513955
PC4,0.08012982278930393,10.599218313006897,0.5880034313406994
PC5,0.06016558456638129,7.958437240346395,0.6481690159070808
PC6,0.04417578142921321,5.843376850427876,0.692344797336294
PC7,0.03370757404155656,4.458688708294418,0.7260523713778505
PC8,0.02866915412587406,3.7922288213264777,0.7547215255037245
